	id	text	orig_begin	orig_end	orig_span	orig_span_convert	predict_span	predict_begin	predict_end
0	SMM4H20222sbwdYiQfnBCsPsl	21y.o. w/ sickle-cell anemia and taking trazodone presents w/ priapism. what's the cause?	62	70	priapism	priapism	sickle cell anemia and taking trazodone presents w priapism	8	67
1	SMM4H2022hceks3meUmDcJLy8	why seroquel can make me put on 20 over kg: it acts like an insulin blocker or something.	25	42	put on 20 over kg	put on 20 over kg	put on 20 over kg	25	42
2	SMM4H20220mSmvlK5h4hXJNh9	trying to distract with masterchef, twitter, texting &amp; candy crush but i'm anxious &amp; have stomach &amp; head pain #venlafaxine #withdrawal	137	147	withdrawal	withdrawal		0	0
3	SMM4H2022lX1A8RVuySkDzAB2	between the fucking redbull and vyvanse i popped to energize my triple yesterday... couldn't fall asleep for the life of me.	84	104	couldn't fall asleep	couldn't fall asleep	tween the fucking redbull and vyvanse i popped to energize my triple yesterday couldn t fall asleep	2	101
4	SMM4H2022TIrTKWWfCAO02Uli	@USER___________ i cant sleep im having a well bad nicotine craving	19	29	cant sleep	cant sleep	cant sleep im having a well bad nicotine craving	8	56
5	SMM4H2022X0coJTr3qC19JXST	Magically my appetite has gone back to normal since going off seroquel! Well, well, well - I was right, the doctor was wrong.	13	21	appetite	appetite	appetite	13	21
6	SMM4H2022abr0OQs8okhO3F1M	suffice to say i am not particularly a fan of quetiapine sponsored dreams	67	73	dreams	dreams	dreams	67	73
7	SMM4H2022Pnl1fVP8pycgcugd	@USER______ I appreciate it. I gained over 30lbs with Paxil so I'm trying something different, tired of the appetite side effects.	108	116	appetite	appetite	gained over 30lbs with paxil so i m trying something different tired of the appetite	24	108
8	SMM4H2022IHybeqCT2oRARJlu	fuck molly . vyvanse is what gets ya sweatin	37	44	sweatin	sweatin	sweatin	35	42
9	SMM4H2022FupUyp3V1qkdfaQW	@USER________ dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.	15	20	dizzy	dizzy		0	0
10	SMM4H20229Aha6m4XERqYdFWf	06.30 day 14 Rivaroxaban diary. Thanks to paracetamol and hot water bottle I had 4 hrs continuous sleep. Woke uo with frontal headache, 1/2	118	134	frontal headache	frontal headache	headache	124	132
11	SMM4H2022SDuYUDOiLTAqQMki	well played tysabri...kicking butt #nosleep.	36	43	nosleep	nosleep	kicking butt nosleep	20	40
12	SMM4H2022UAvDTQWOIacvBkzp	rt @USER_______: my philly dr prescribed me trazodone,1pill made me so fkn sick, couldnt move 2day.xtreme migraine, puke, shakes. any1else '	117	121	puke	puke		0	0
13	SMM4H2022ykI8vN7jZYnV57AM	@USER_________ i found the humira to fix all my crohn's issues, but cause other issues. i went off it due to issues w nerves/muscle spasms	119	125	nerves	nerves	spa	121	124
14	SMM4H2022Xd3yVjFU568MhuMv	@USER_________ well i'm taking it with a mood stabilizer (lamictal). i can't take anti-depressants by themselves-triggers my rapid cycling	113	138	triggers my rapid cycling	triggers my rapid cycling	rapid cycling	113	126
15	SMM4H20228zyP7ZWneGoetY6M	@USER________ i tried coming off my olanzapine twice in the past 3 years without telling my psych - unfortunately too difficult to come off!	118	139	difficult to come off	difficult to come off	come	121	125
16	SMM4H20220mSmvlK5h4hXJNh9	trying to distract with masterchef, twitter, texting &amp; candy crush but i'm anxious &amp; have stomach &amp; head pain #venlafaxine #withdrawal	80	87	anxious	anxious		0	0
17	SMM4H2022RKHfXCWIZXEAIC6c	3 red bulls, 2 vyvanse, no sleep = shit feeling	25	33	no sleep	no sleep	no sleep shit feeling	22	43
18	SMM4H2022vx0oZQy12tkjRIPz	rt @USER_________: @USER________ i cannot be in the sun! #levaquin	35	55	cannot be in the sun	cannot be in the sun	i cannot be in the sun	13	35
19	SMM4H2022ykI8vN7jZYnV57AM	@USER_________ i found the humira to fix all my crohn's issues, but cause other issues. i went off it due to issues w nerves/muscle spasms	126	139	muscle spasms	muscle spasms	spa	121	124
20	SMM4H2022dUpa56FmoF70Koge	day 6 cold turkey from effexor. i believe this pic adequately represents my descent into madness. or whatever. HTTPURL_______________	76	96	descent into madness	descent into madness	descent into madness	75	95
21	SMM4H2022zS5jwcGxhKiV9M6s	i wonder if seroquel /then/ food still equals restless legs	46	59	restless legs	restless legs	restless legs	44	57
22	SMM4H2022uCZV2SRsCe4vzjFm	@USER__________ have to go to a doc now to see why i'm still gaining. stupid paxil made me gain like 50 pounds ?? and now i have to lose it	91	110	gain like 50 pounds	gain like 50 pounds	gaining stupid paxil made me gain like 50 pounds and now i have to lose it	51	125
23	SMM4H2022PHaTAtxs8MUXKgxV	80.sevenkg. not good at all. seroquel will do it's best to make those numbers bigger so now i have to really watch what i eat.	59	84	make those numbers bigger	make those numbers bigger	80 sevenkg not good at all seroquel will do it s best to make those numbers bigger so now i have to really watch what i eat	0	123
24	SMM4H2022WrDsctt80lnF7suS	@USER____ i'm a bit drunk its my prozac	20	25	drunk	drunk	drunk	16	21
25	SMM4H2022nWG1t3YGOaL80SEc	one of the things i hate most about quetiapine is when i take it for the first few hours i slur my words, so people assume i'm merely drunk.	91	95	slur	slur	slur my words so people assume i m merely drunk	91	138
26	SMM4H20220mSmvlK5h4hXJNh9	trying to distract with masterchef, twitter, texting &amp; candy crush but i'm anxious &amp; have stomach &amp; head pain #venlafaxine #withdrawal	113	122	head pain	head pain		0	0
27	SMM4H2022WYlG44rGLAMzXI7I	well my effexor kinda did its job to keep my anxiety under control.... but now to get my heart rate down..... ugh	89	99	heart rate	heart rate	anxiety under control but now to get my heart rate	45	95
28	SMM4H2022xPmAaH9Kvenuxhu2	@USER______ it has nothing to do with any of that~ apparently seroquel makes you gain alot of weight -__-	81	100	gain alot of weight	gain alot of weight	gain alot of weight	74	93
29	SMM4H2022Obitap6ILHXjD5SH	@USER____ thanks :) i so wanted venlafaxine to work cos at least it didn't increase my appetite like citalopram did.	75	95	increase my appetite	increase my appetite	increase my appetite	68	88
30	SMM4H2022yfpTy24FLthRUaay	cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass	73	85	flu symptoms	flu symptoms		0	0
31	SMM4H2022FdTorKia743f8oX2	does anyone happen to know if lamictal causes you to feel hot? @USER_________ @USER______ #cantstopsweating	99	107	sweating		to know if lamictal causes you to feel hot user user cantstopsweating	19	88
32	SMM4H2022r2Rhx2VTef0t53fP	@USER___________ i still get the pins &amp; needles feeling in my hands since doing humira	33	51	pins &amp; needles	pins & amp ; needles	pin	22	25
33	SMM4H2022UAvDTQWOIacvBkzp	rt @USER_______: my philly dr prescribed me trazodone,1pill made me so fkn sick, couldnt move 2day.xtreme migraine, puke, shakes. any1else '	107	115	migraine	migraine		0	0
34	SMM4H2022WjGLwsETJIENmrJJ	@USER_____ I take fluoxetine and quetiapine. The quetiapine is the one with the massive sleepies, althouth the flouxetine doesn''t help.	88	96	sleepies	sleepies	massive sleepies	74	90
35	SMM4H2022w1Dip50oWfNYBVdo	does cipro make anyone's else's brain turn to mush or am i actually just going crazy?	32	50	brain turn to mush	brain turn to mush	brain turn to mush or am i actually just going crazy	32	84
36	SMM4H20226b5WyZPTAJ7qL3dE	rt @USER_______: @USE when are you going to do true life: i am addicted to vyvanse?	63	71	addicted	addicted	addicted	52	60
37	SMM4H2022WDJyq2OdnyWLMJT5	just woke up. since i started on the higher dose of quetiapine i'm sleeping even more &amp; i feel knackered when i wake.	67	75	sleeping	sleeping	sleeping even more amp i feel knackered	66	105
38	SMM4H2022yfpTy24FLthRUaay	cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass	53	61	hangover	hangover		0	0
39	SMM4H2022qNHntuJnkevkahGr	ciprofloxacin: how do you expect to sleep when your stomach is a cement mixer?	52	77	stomach is a cement mixer	stomach is a cement mixer	to sleep when your stomach is	32	61
40	SMM4H2022UGqZXi74Aq6rkF4J	the pathway of cipro is definitely murdering my mind right now ? #donedonedone	35	52	murdering my mind	murdering my mind	murdering my mind	35	52
41	SMM4H20220LbDv7WiGBW7nQR4	I might have gained 30 lbs in 6 weeks on Zyprexa...Haven't lost that weight yet, and it's been 12 years now. Call doc if it happens to you.	13	26	gained 30 lbs	gained 30 lbs	gained 30 lbs in 6 weeks on zyprexa haven t lost that weight	13	73
42	SMM4H2022kj75P73z8raG9D5M	@USER_________ interesting! my experience with patients taking seroquel is massive weight gain.	83	94	weight gain	weight gain	weight gain	73	84
43	SMM4H20221fZluiIo0whXaJA6	@USER____ i found it hard coming off venlafaxine. definitely agree that running helps: it's the only thing that has kept me drug-free. ever!	26	36	coming off	coming off		17	17
44	SMM4H2022TIrTKWWfCAO02Uli	@USER___________ i cant sleep im having a well bad nicotine craving	60	67	craving	craving	cant sleep im having a well bad nicotine craving	8	56
45	SMM4H202280H6GSvA1HFITRkC	@USER___________ I've had Cipro before. Luckily for me, the only side fx I tend to get from AB is gastic upset. But I RARELY use AB.	98	110	gastic upset	gastic upset		0	0
46	SMM4H2022FupUyp3V1qkdfaQW	@USER________ dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.	22	31	out if it	out if it		0	0
47	SMM4H2022Pnl1fVP8pycgcugd	@USER______ I appreciate it. I gained over 30lbs with Paxil so I'm trying something different, tired of the appetite side effects.	31	48	gained over 30lbs	gained over 30lbs	gained over 30lbs with paxil so i m trying something different tired of the appetite	24	108
48	SMM4H2022qNHntuJnkevkahGr	ciprofloxacin: how do you expect to sleep when your stomach is a cement mixer?	36	41	sleep	sleep	to sleep when your stomach is	32	61
49	SMM4H2022xUuEe5qp3vZY144W	fluoxetine, got me going crazy.	26	31	crazy	crazy	going crazy	18	29
50	SMM4H20228cuioIXvYfiRZ4jv	i did it. it hurt quite a bit more this time. but i did it. #humira #rheum #spoonie	13	17	hurt	hurt	hurt	12	16
51	SMM4H2022HKMAb7UyA9DBgC0X	almost vomited on a zinc lozenge #yuk	0	14	Almost vomited	almost vomited	almost vomited	0	14
52	SMM4H2022WDJyq2OdnyWLMJT5	just woke up. since i started on the higher dose of quetiapine i'm sleeping even more &amp; i feel knackered when i wake.	99	120	knackered when I wake	knackered when i wake	sleeping even more amp i feel knackered	66	105
53	SMM4H2022hceks3meUmDcJLy8	why seroquel can make me put on 20 over kg: it acts like an insulin blocker or something.	60	75	insulin blocker	insulin blocker	put on 20 over kg	25	42
54	SMM4H2022GEEGMyvixhP65MzB	@USER______ because i realized vyvanse after a certain time of taking it increased my anxiety and made me more irrational.	86	93	anxiety	anxiety	irrational	105	115
55	SMM4H2022UAvDTQWOIacvBkzp	rt @USER_______: my philly dr prescribed me trazodone,1pill made me so fkn sick, couldnt move 2day.xtreme migraine, puke, shakes. any1else '	123	129	shakes	shakes		0	0
56	SMM4H2022lRmiVKCnPwZBP37M	depression hurts, cymbalta can help? no way! i just took a nap for the first time in years probably and wowza! what sorcery is this?!	60	63	nap	nap	nap	56	59
57	SMM4H2022uCZV2SRsCe4vzjFm	@USER__________ have to go to a doc now to see why i'm still gaining. stupid paxil made me gain like 50 pounds ?? and now i have to lose it	61	68	gaining	gaining	gaining stupid paxil made me gain like 50 pounds and now i have to lose it	51	125
58	SMM4H2022DNWR10SKNZOERYWL	horrendous venlafaxine dream. indecently assaulted by rose west and myra hindley.	0	28	Horrendous venlafaxine dream	horrendous venlafaxine dream	dream indecently assaulted	23	49
59	SMM4H2022mQX8Uwh2MeAyx0vv	@USER____ @USER_________ Cymbalta withdrawal is getting top billing at the moment, however. Ugh! xx	34	44	withdrawal	withdrawal	withdrawal	20	30
60	SMM4H2022a2hde3adQrDE2HIV	debating on taking a trazodone and literally passing out for the day.	45	56	passing out	passing out	passing out for	45	60
61	SMM4H2022Wh5BgCEutjAsILyO	i swear, since i went on lamotrigine, i've become dyslexic..what the fuck is up with that?	51	59	dyslexic	dyslexic	dyslexic	48	56
62	SMM4H2022rZ604dAppHEgW0eE	@USER__________ isn't zyprexa also called olanzapine, if so ppl need to be careful of side effects &amp;addiction, can do more harm than good	105	114	addiction	addiction	addiction	92	101
63	SMM4H2022ln1yHLJYGxK0tvGO	another light nights sleep brought to me courtesy of #venlafaxine dammit. #day8	8	26	light nights sleep	light nights sleep	light nights sleep	8	26
64	SMM4H2022Ktwet43odUtXgxNZ	@USER_____ olanzapine is another anti-psychotic medication. it works on my bipolar but makes me binge eat	96	105	binge eat	binge eat	binge eat	90	99
65	SMM4H2022MzDdtDqSq1LhsEKO	So glad I'm off #effexor, so sad it ruined my teeth. #tip Please be carefull w/ taking #antideppresiva and read about it 1st! #venlafaxine	36	51	ruined my teeth	ruined my teeth	ruined my teeth	34	49
66	SMM4H2022UAvDTQWOIacvBkzp	rt @USER_______: my philly dr prescribed me trazodone,1pill made me so fkn sick, couldnt move 2day.xtreme migraine, puke, shakes. any1else '	76	80	sick	sick		0	0
67	SMM4H2022qZC2BPG2BW7UC175	rt @USER_______: vyvanse, commonly known as ocd in a pill.	45	48	OCD	ocd	ommonly known as ocd	17	37
68	SMM4H2022RKHfXCWIZXEAIC6c	3 red bulls, 2 vyvanse, no sleep = shit feeling	36	48	shit feeling	shit feeling	no sleep shit feeling	22	43
69	SMM4H2022eUHEdYa9HaG1N9d7	@USER_________ hi i was on humira for 4 months worked great until i got sick last week. don't know if i will go back on it or not.	72	76	sick	sick	sick	63	67
70	SMM4H2022PInYkYqdCaYoOMHW	@USER____ ...face. and quetiapine slightly increases sun sensitivity too.	53	68	sun sensitivity	sun sensitivity	sun sensitivity	45	60
71	SMM4H2022UIXArsYjQ9fMwI4H	so so so shaky. me and effexor xr have a love/hate relationship.	9	14	shaky	shaky	shaky	9	14
72	SMM4H2022aIYAHWf4HBgj52hp	why is my brain so retarded when my vyvanse wears off?	10	27	brain so retarded	brain so retarded	retarded	19	27
73	SMM4H20220mSmvlK5h4hXJNh9	trying to distract with masterchef, twitter, texting &amp; candy crush but i'm anxious &amp; have stomach &amp; head pain #venlafaxine #withdrawal	99	106	stomach	stomach		0	0
74	SMM4H2022yfpTy24FLthRUaay	cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass	108	123	cant keep still	cant keep still		0	0
75	SMM4H2022GEEGMyvixhP65MzB	@USER______ because i realized vyvanse after a certain time of taking it increased my anxiety and made me more irrational.	111	121	irrational	irrational	irrational	105	115
76	SMM4H2022OjDAlww1rH9bbUhW	08.26 day 14 rivaroxaban diary. just been to cut some wild roses down so workmen can easily get to part of my garage. intense back pain.	126	135	back pain	back pain	back pain	124	133
77	SMM4H2022FdTorKia743f8oX2	does anyone happen to know if lamictal causes you to feel hot? @USER_________ @USER______ #cantstopsweating	53	61	feel hot	feel hot	to know if lamictal causes you to feel hot user user cantstopsweating	19	88
78	SMM4H2022yfpTy24FLthRUaay	cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass	10	20	coming off	coming off		0	0
79	SMM4H20223wRT70sBQURHsKEE	My medication is making me stupid, brain meds are not ok , fuck u paxil	17	33	making me stupid	making me stupid	stupid	27	33
80	SMM4H2022qpOud7DsjWMhWhFb	@USER________ @USER__________ i couldn't take lamictal 1 week into it i got the rash.a rush trip to the er.6 months till rash was gone.	80	84	rash	rash	rash	61	65
81	SMM4H2022FupUyp3V1qkdfaQW	@USER________ dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.	36	44	confused	confused		0	0
82	SMM4H2022yfpTy24FLthRUaay	cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass	93	99	nausea	nausea		0	0
83	SMM4H2022Dd6AFmou1yEhnoRH	rocephin  ciprofloxacin = me barely able to stay awake	29	54	barely able to stay awake	barely able to stay awake	barely able to stay awake	26	51
84	SMM4H2022cjwbGQbnkpVjjJzR	Fucking Vyvanse, giving me cotton mouth. UGH.	27	39	cotton mouth	cotton mouth	cotton mouth	26	38
85	SMM4H2022TuXafFONznuqO8aQ	i fell asleep and woke back up again. trying a quarter of a seroquel instead of half this time. i'd like to get out of bed tomorrow.	108	122	get out of bed	get out of bed	asleep and woke back up again trying a quarter of a seroquel instead of half this time i d like to get out of bed	7	120
86	SMM4H20221gMMy4c5pFbIYXpE	The 100mg tabs of trazodone my gp prescribed are too much, now that I don't take them every night. Still zombieish after an hour awake.	105	114	zombieish	zombieish	zombieish	103	112
